item,palavra,script
p00001,aberta,1
p00002,aberto,2
p00003,abertura,3
p00004,abranger,1
p00005,acompanhamento,2
p00006,acompanhante,3
p00007,acordar,1
p00008,acreditar,2
p00009,afeminar,3
p00010,alfaiataria,1
p00011,algodão,2
p00012,almoçar,3
p00013,alto,1
p00014,amamentar,2
p00015,amar,3
p00016,amarrações,1
p00017,amarrar,2
p00018,ambiente,3
p00019,amigo,1
p00020,angelical,2
p00021,anoitecer,3
p00022,antiga,1
p00023,apresentar,2
p00024,aquático,3
p00025,arma,1
p00026,armadura,2
p00027,armamentista,3
p00028,armamento,1
p00029,armazém,2
p00030,assobiar,3
p00031,associar,1
p00032,assustar,2
p00033,bainha,3
p00034,bala,1
p00035,banco,2
p00036,barba,3
p00037,batalha,1
p00038,bater,2
p00039,bateria,3
p00040,beber,1
p00041,beijar,2
p00042,belo,3
p00043,bilionário,1
p00044,binarismo,2
p00045,bissexual,3
p00046,bissexualidade,1
p00047,blazer,2
p00048,bloco,3
p00049,bojo,1
p00050,bolsa,2
p00051,bom,3
p00052,bomba,1
p00053,bombeiro,2
p00054,bonito,3
p00055,bordado,1
p00056,bota,2
p00057,botão,3
p00058,braguilha,1
p00059,brasileiro,2
p00060,brilhante,3
p00061,brilho,1
p00062,brincar,2
p00063,brincos,3
p00064,bruto,1
p00065,cabide,2
p00066,caimento,3
p00067,cair,1
p00068,calça,2
p00069,calor,3
p00070,camisola,1
p00071,camurça,2
p00072,canal,3
p00073,cardápio,1
p00074,carnaval,2
p00075,caro,3
p00076,carro,1
p00077,carta,2
p00078,carteira,3
p00079,casa,1
p00080,casar,2
p00081,cerâmica,3
p00082,cetim,1
p00083,chapéu,2
p00084,chinelo,3
p00085,chupar,1
p00086,cidade,2
p00087,cintilação,3
p00088,cintilante,1
p00089,cintura,2
p00090,cisgênero,3
p00091,cisheteronormativo,1
p00092,cobrir,2
p00093,coisa,3
p00094,colar,1
p00095,colarinho,2
p00096,coleção,3
p00097,comentar,1
p00098,completar,2
p00099,comum,3
p00100,comunidade,1
p00101,concordar,2
p00102,confiar,3
p00103,conta,1
p00104,contato,2
p00105,controverso,3
p00106,convênio,1
p00107,conversar,2
p00108,coordenação,3
p00109,coreano,1
p00110,corpete,2
p00111,corpo,3
p00112,corporeidade,1
p00113,corte,2
p00114,costura,3
p00115,costurar,1
p00116,cotidiano,2
p00117,criança,3
p00118,cruel,1
p00119,débito,2
p00120,decote,3
p00121,deficiente,1
p00122,delineador,2
p00123,derrubar,3
p00124,desculpa,1
p00125,desembargador,2
p00126,desesperado,3
p00127,desfile,1
p00128,desocupar,2
p00129,despedir,3
p00130,despertar,1
p00131,destruição,2
p00132,detalhar,3
p00133,dever,1
p00134,dia,2
p00135,didático,3
p00136,diferente,1
p00137,dinheiro,2
p00138,dizer,3
p00139,doente,1
p00140,dormir,2
p00141,drag,3
p00142,drag king,1
p00143,drag queen,2
p00144,duplo,3
p00145,duro,1
p00146,ejacular,2
p00147,elástico,3
p00148,ele,1
p00149,elegante,2
p00150,eles,3
p00151,elu,1
p00152,elus,2
p00153,empatar,3
p00154,empresa,1
p00155,encantar,2
p00156,encher,3
p00157,equipamento,1
p00158,escandaloso,2
p00159,escola,3
p00160,escolar,1
p00161,escravizado,2
p00162,espada,3
p00163,espartilho,1
p00164,específico,2
p00165,estado,3
p00166,estampa,1
p00167,estético,2
p00168,estilo,3
p00169,estranho,1
p00170,estúdio,2
p00171,ética,3
p00172,eu,1
p00173,evoluir,2
p00174,exagerar,3
p00175,explodir,1
p00176,faca,2
