item,palavra,ordem,ocorrências,corpus_frequencia,classificação,rastreador,texto,TVLPB,banda,script
p00001,aberta,4596,2,linguateca,adjetivo,não,NA,nao,N/A,1
p00004,abranger,4293,1036,linguateca,verbo,não,NA,sim,5,1
p00007,acordar,1955,4.306,linguateca,verbo,não,NA,nao,N/A,1
p00010,alfaiataria,,235,linguateca,substantivo,não,NA,nao,N/A,1
p00013,alto,231,31.736,linguateca,adjetivo,não,NA,nao,N/A,1
p00016,amarrações,,74,linguateca,substantivo,não,NA,nao,N/A,1
p00019,amigo,304,26.946,linguateca,substantivo,não,NA,nao,N/A,1
p00022,antiga,5904,940,linguateca,adjetivo,não,NA,nao,N/A,1
p00025,arma,956,6.399,linguateca,substantivo,sim,3 e 4,nao,N/A,1
p00028,armamento,,2.092,linguateca,substantivo,sim,4,nao,N/A,1
p00031,associar,2182,2541,linguateca,verbo,não,NA,sim,8,1
p00034,bala,125,54.526,linguateca,substantivo,sim,3,nao,N/A,1
p00037,batalha,2484,2.157,linguateca,substantivo,sim,3,nao,N/A,1
p00040,beber,1675,5.227,linguateca,verbo,não,NA,nao,N/A,1
p00043,bilionário,NA,447,linguateca,adjetivo,sim,4,nao,N/A,1
p00046,bissexualidade,,166,linguateca,substantivo,não,NA,nao,N/A,1
p00049,bojo,,58,linguateca,substantivo,não,NA,nao,N/A,1
p00052,bomba,2059,2724,linguateca,substantivo,sim,3,nao,N/A,1
p00055,bordado,,155,linguateca,adjetivo,não,NA,nao,N/A,1
p00058,braguilha,,49,linguateca,substantivo,não,NA,nao,N/A,1
p00061,brilho,4141,1093,linguateca,substantivo,sim,2,nao,N/A,1
p00064,bruto,3294,1498,linguateca,adjetivo,não,NA,sim,4,1
p00067,cair,339,24.449,linguateca,verbo,não,NA,nao,N/A,1
p00070,camisola,,346,linguateca,substantivo,não,NA,nao,N/A,1
p00073,cardápio,4585,947,linguateca,substantivo,não,NA,sim,8,1
p00076,carro,324,25.589,linguateca,substantivo,sim,4,nao,N/A,1
p00079,casa,107,61.331,linguateca,substantivo,não,NA,sim,N/A,1
p00082,cetim,,124,linguateca,substantivo,não,NA,nao,N/A,1
p00085,chupar,,409 ,linguateca,verbo,não,NA,nao,N/A,1
p00088,cintilante,,298 ,linguateca,adjetivo,sim,3,nao,N/A,1
p00091,cisheteronormativo,,0,linguateca,adjetivo,não,NA,nao,N/A,1
p00094,colar,,2886,linguateca,substantivo,não,NA,nao,N/A,1
p00097,comentar,1136,5.280,linguateca,verbo,não,NA,sim,8,1
p00100,comunidade,1108,5478,linguateca,substantivo,não,NA,sim,2,1
